# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "8" "-p" "-B" "-s" "0" "-t" "exon" "-g" "gene_id" "-a" "Saccharomyces_cerevisiae.R64-1-1.108.gtf" "-o" "count.txt" "SRR13978643Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR13978643Aligned.sortedByCoord.out.bam
YGR124W	VII	739944	741662	+	1719	1339
YGL103W	VII;VII	310967;311527	311015;311927	+;+	450	8
YGL062W	VII	385196	388732	+	3537	619
YGR049W	VII	591314	591877	+	564	259
snR39	VII	365163	365251	-	89	7
YGR076C	VII	637104	637577	-	474	82
YGL161C	VII	199210	200142	-	933	303
YGR062C	VII	616328	617278	-	951	87
tV(AAC)G1	VII	412294	412367	-	74	1
YGL237C	VII	52731	53528	-	798	118
YGR024C	VII	531883	532596	-	714	59
YGR184C	VII	859901	865753	-	5853	401
YGR292W	VII	1076599	1078353	+	1755	4
YGR151C	VII	794655	794990	-	336	1
YGL034C	VII	433214	433579	-	366	1
YGL067W	VII	376101	377255	+	1155	97
YGR072W	VII	634304	635467	+	1164	102
YGL229C	VII	64503	66959	-	2457	75
YGR055W	VII	599417	601141	+	1725	1705
YGL044C	VII	416146	417036	-	891	126
YGL054C	VII	400871	401287	-	417	504
YGL119W	VII	284442	285947	+	1506	126
YGR068W-A	VII	626294	626389	+	96	0
YGR206W	VII	910432	910737	+	306	21
YGR121W-A	VII	733412	733627	+	216	4
YGL130W	VII	266145	267524	+	1380	283
YGL042C	VII	418288	418593	-	306	44
YGR090W	VII	662358	666071	+	3714	268
YGR221C	VII	937124	938992	-	1869	134
YGR143W	VII	775193	777508	+	2316	404
tR(UCU)G1	VII	405470	405541	+	72	0
YGL218W	VII	83650	84300	+	651	0
YGL198W	VII	123591	124298	+	708	52
YGL083W	VII	353058	355472	+	2415	183
tC(GCA)G	VII	707108	707179	-	72	0
YGR071C	VII	631481	634063	-	2583	101
YGR259C	VII	1012481	1012921	-	441	0
YGR058W	VII	606136	607143	+	1008	93
YGL195W	VII	131525	139543	+	8019	637
YGL192W	VII	142246	144048	+	1803	0
YGL206C	VII	102543	107504	-	4962	597
YGR060W	VII	610564	611493	+	930	662
YGL257C	VII	12481	14157	-	1677	185
YGL236C	VII	53787	55796	-	2010	63
YGR138C	VII	763762	765606	-	1845	721
YGR015C	VII	521090	522076	-	987	77
YGL023C	VII	450197	452104	-	1908	196
YGL144C	VII	232450	234507	-	2058	69
YGL071W	VII	372012	374084	+	2073	159
tK(CUU)G3	VII	876394	876466	+	73	0
YGR080W	VII	642010	643008	+	999	301
YGL116W	VII	289809	291641	+	1833	102
YGR035C	VII	557072	557422	-	351	52
YGL201C	VII	117854	120907	-	3054	74
YGR212W	VII	917040	918446	+	1407	30
YGR154C	VII	796798	797868	-	1071	60
YGL241W	VII	45445	48459	+	3015	115
YGL262W	VII	5312	5839	+	528	0
YGR247W	VII	984966	985685	+	720	81
YGR199W	VII	897502	899781	+	2280	134
YGL260W	VII	6860	7090	+	231	0
YGR179C	VII	853675	854895	-	1221	89
YGR011W	VII	512497	512823	+	327	19
YGL111W	VII	299978	301369	+	1392	128
snR39B	VII	366374	366469	-	96	12
YGR073C	VII	635615	635986	-	372	0
YGR155W	VII	798543	800066	+	1524	2121
YGL114W	VII	293460	295637	+	2178	168
YGL255W	VII	20978	22108	+	1131	3428
YGR066C	VII	620921	621799	-	879	35
YGR233C	VII	954674	958210	-	3537	158
YGR092W	VII	668189	669907	+	1719	156
YGL041W-A	VII	418825	419289	+	465	29
YGR171C	VII	840824	842551	-	1728	52
tW(CCA)G2	VII;VII	878710;878780	878745;878815	-;-	72	0
YGL171W	VII	182390	184084	+	1695	57
YGL029W	VII	440063	440425	+	363	33
YGR040W	VII	575398	576504	+	1107	63
YGR220C	VII	936074	936883	-	810	59
YGR268C	VII	1026057	1026653	-	597	171
YGL147C	VII	227754	228329	-	576	793
tK(CUU)G1	VII	122269	122341	+	73	0
YGR144W	VII	780399	781379	+	981	11
YGR178C	VII	851047	853215	-	2169	620
YGR113W	VII	718893	719924	+	1032	210
YGL203C	VII	112475	114664	-	2190	297
YGL048C	VII	410069	411286	-	1218	471
YGR207C	VII	910843	911628	-	786	101
YGR258C	VII	1007671	1010766	-	3096	162
YGL091C	VII	342056	343042	-	987	93
YGR093W	VII	670388	671911	+	1524	90
YGR119C	VII	728046	729671	-	1626	242
YGR213C	VII	918512	919465	-	954	33
YGR061C	VII	611889	615965	-	4077	736
YGL182C	VII	157273	157596	-	324	0
YGR139W	VII	765726	766064	+	339	14
YGR121C	VII	731449	732927	-	1479	246
YGL043W	VII	417483	418412	+	930	150
YGR280C	VII	1050910	1051725	-	816	87
YGL085W	VII	349616	350440	+	825	45
YGL031C	VII	437467	437934	-	468	1307
YGR117C	VII	725049	726479	-	1431	132
YGR254W	VII	1000927	1002240	+	1314	8836
YGR235C	VII	961360	962061	-	702	225
YGL124C	VII	274780	276714	-	1935	57
YGR236C	VII	962530	962817	-	288	1
YGL164C	VII	191978	193300	-	1323	39
YGR293C	VII	1079885	1080346	-	462	3
tL(CAA)G1	VII;VII	205521;205591	205558;205634	+;+	82	1
YGR264C	VII	1019598	1021853	-	2256	539
YGL234W	VII	56482	58890	+	2409	1366
YGL109W	VII	303513	303836	+	324	35
YGL238W	VII	49552	52434	+	2883	210
YGL041C-B	VII	418704	418886	-	183	1
YGR056W	VII	601661	604447	+	2787	158
YGR201C	VII	902520	903197	-	678	37
YGR239C	VII	969187	970053	-	867	225
YGR169C-A	VII	836387	836665	-	279	65
YGR185C	VII	866336	867520	-	1185	674
YGR189C	VII	876669	878192	-	1524	563
YGR022C	VII	529257	529586	-	330	0
YGR290W	VII	1075482	1075925	+	444	0
YGL205W	VII	108158	110404	+	2247	24
tK(CUU)G2	VII	185714	185786	-	73	0
YGL221C	VII	81426	82292	-	867	297
YGL108C	VII	303649	304071	-	423	16
YGL069C	VII	375050	375514	-	465	0
YGL135W	VII	254641	255294	+	654	1338
YGR253C	VII	998358	999140	-	783	304
YGL053W	VII	402589	403302	+	714	105
YGL101W	VII	312193	312840	+	648	92
YGR271C-A	VII	1037800	1038501	-	702	43
YGR267C	VII	1025004	1025735	-	732	560
YGR234W	VII	959904	961103	+	1200	1134
YGL251C	VII;VII	27921;31579	31426;31636	-;-	3564	77
YGL141W	VII	238353	241085	+	2733	185
YGL245W	VII	39023	41149	+	2127	1192
YGL007W	VII	483260	483637	+	378	6
YGL005C	VII	489708	490547	-	840	60
YGL215W	VII	87981	89339	+	1359	957
YGR173W	VII	843854	844960	+	1107	49
YGL249W	VII	33098	35212	+	2115	8
YGR161W-C	VII	810227	810505	+	279	24
YGR229C	VII	949382	950899	-	1518	313
YGR070W	VII	627806	631273	+	3468	170
YGR135W	VII	761392	762168	+	777	333
YGL014C-A	VII	466237	466398	-	162	0
YGR225W	VII;VII	945145;946421	946327;947019	+;+	1782	10
YGL258W	VII	11110	11730	+	621	220
tT(UGU)G1	VII	661749	661820	+	72	0
YGL139W	VII	245716	248124	+	2409	167
YGL172W	VII	180700	182118	+	1419	273
YGR088W	VII	654634	656322	+	1689	455
YGL126W	VII	270997	272139	+	1143	185
YGR140W	VII	767429	770299	+	2871	53
YGR129W	VII	750400	751047	+	648	35
YGL027C	VII	443642	446143	-	2502	221
tL(CAA)G2	VII;VII	423092;423162	423129;423205	+;+	82	1
YGL231C	VII	63048	63620	-	573	415
YGL019W	VII	458156	458992	+	837	302
tR(UCU)G3	VII	736340	736411	+	72	0
YGR017W	VII	523787	524680	+	894	203
YGR107W	VII	702667	703116	+	450	4
YGL039W	VII	423961	425007	+	1047	192
tL(CAA)G3	VII;VII	857378;857454	857421;857491	-;-	82	0
YGL123C-A	VII	277634	277864	-	231	0
YGL002W	VII	494517	495167	+	651	165
YGR044C	VII	582990	583892	-	903	418
YGR193C	VII	884509	885741	-	1233	391
YGL033W	VII;VII;VII	435625;435750;436375	435679;436312;436401	+;+;+	645	3
YGR165W	VII	829116	830153	+	1038	171
YGL030W	VII;VII	439091;439324	439093;439638	+;+	318	1196
YGL128C	VII	269293	270144	-	852	77
YGL063C-A	VII	384502	384651	-	150	0
YGL007C-A	VII	482941	483027	-	87	1
YGL175C	VII	173285	174322	-	1038	15
YGL223C	VII	79112	80365	-	1254	163
YGR190C	VII	880296	880661	-	366	24
YGL004C	VII	490703	491956	-	1254	112
YGL148W	VII	226399	227529	+	1131	1157
YGR281W	VII	1052824	1057257	+	4434	344
tH(GUG)G2	VII	319781	319852	+	72	0
tF(GAA)G	VII;VII	440716;440771	440751;440807	-;-	73	0
YGR078C	VII	639772	640371	-	600	59
YGL133W	VII	257707	261501	+	3795	173
tV(AAC)G2	VII	823482	823555	+	74	1
YGR295C	VII	1081584	1082729	-	1146	242
YGR048W	VII	589826	590911	+	1086	102
YGR065C	VII	618077	619858	-	1782	123
YGL051W	VII	403687	404391	+	705	20
YGL220W	VII	82374	82736	+	363	78
YGR019W	VII	525229	526644	+	1416	405
YGL010W	VII	475545	476069	+	525	76
YGL090W	VII	343319	344584	+	1266	84
YGR054W	VII	596693	598621	+	1929	402
YGR174W-A	VII	846655	846741	+	87	9
YGL032C	VII	436570	436833	-	264	4
tE(UUC)G2	VII	401527	401598	-	72	0
YGL179C	VII	163409	165091	-	1683	150
tE(UUC)G3	VII	541850	541921	+	72	0
YGR002C	VII	498476	499906	-	1431	146
YGL134W	VII	255663	256964	+	1302	73
YGL235W	VII	55279	55815	+	537	0
YGL006W	VII	485921	489442	+	3522	309
YGR028W	VII	542203	543291	+	1089	85
YGR283C	VII	1059015	1060040	-	1026	65
YGR249W	VII	988049	989419	+	1371	128
snR82	VII	316788	317055	+	268	77
snR7-L	VII	939459	939672	-	214	1
YGL232W	VII;VII	62075;62190	62131;63002	+;+	870	71
YGL157W	VII	209006	210049	+	1044	503
YGL118C	VII	288014	288451	-	438	1
YGR012W	VII	513159	514340	+	1182	69
YGR242W	VII	976415	976723	+	309	3
YGR014W	VII	516943	520863	+	3921	388
YGR038C-A	VII	566145	567467	-	1323	0
YGR161C-C	VII	821693	823015	-	1323	0
YGR027W-A	VII	536057	537379	+	1323	0
YGR109W-A	VII	707610	708482	+	873	0
YGR027W-B	VII	536057	541325	+	5269	9
YGR038C-B	VII	562199	567467	-	5269	4
YGR161C-D	VII	817747	823015	-	5269	15
YGR161W-A	VII	811738	813054	+	1317	0
YGR109W-B	VII	707610	712254	+	4645	120
YGR161W-B	VII	811738	817051	+	5314	0
YLL050C	XII;XII	39804;40401	40221;40414	-;-	432	517
YLL032C	XII	74270	76747	-	2478	73
YLR466W	XII	1067087	1071235	+	4149	8
YLR054C	XII;XII	248717;250948	250860;250978	-;-	2175	8
YLR437C	XII	1011622	1012023	-	402	67
YLR217W	XII	572909	573232	+	324	0
YLL056C	XII	27409	28305	-	897	24
YLR128W	XII;XII	398530;398627	398532;399433	+;+	810	69
YLR279W	XII	704309	704698	+	390	10
YLR075W	XII	282927	283592	+	666	1455
YLR052W	XII	247201	247953	+	753	261
YLR159C-A	XII	485711	485842	-	132	0
YLR025W	XII	194452	195174	+	723	127
YLR049C	XII	243886	245172	-	1287	41
YLR308W	XII	747937	748875	+	939	3
YLR032W	XII	204991	208500	+	3510	74
ETS2-2	XII	460712	460922	-	211	3
YLR251W	XII	641464	642057	+	594	75
YLR321C	XII	776584	777864	-	1281	101
YLR327C	XII	783127	783387	-	261	226
YLR154C-H	XII	468827	468958	-	132	0
YLR247C	XII	628684	633354	-	4671	120
YLR167W	XII	498947	499405	+	459	4245
YLR220W	XII	576825	577793	+	969	142
YLR455W	XII	1053629	1054543	+	915	105
YLR282C	XII	705071	705412	-	342	1
YLR094C	XII	327730	329238	-	1509	196
YLR272C	XII	683672	687202	-	3531	53
YLR264C-A	XII	673828	673944	-	117	164
YLR338W	XII	804346	805203	+	858	0
YLR181C	XII	516678	517670	-	993	65
YLR458W	XII	1056455	1056835	+	381	0
YLR180W	XII	515262	516410	+	1149	1708
YLR250W	XII	640317	641021	+	705	144
YLR222C-A	XII	582006	582236	-	231	1
YLR424W	XII	973395	975521	+	2127	25
YLR253W	XII	642627	644336	+	1710	133
YLR390W-A	XII	903724	904440	+	717	1571
YLR233C	XII	607425	609524	-	2100	59
YLR347W-A	XII	824789	824929	+	141	0
YLR117C	XII	382471	384534	-	2064	131
YLR110C	XII	369697	370098	-	402	15138
YLR072W	XII	278862	280943	+	2082	186
YLR069C	XII	271630	273915	-	2286	199
YLR403W	XII	925568	927619	+	2052	253
YLR008C	XII	165577	166083	-	507	84
YLR231C	XII	605758	607119	-	1362	150
YLR264W	XII	673131	673334	+	204	38
YLR164W	XII	493883	494389	+	507	34
YLR079W	XII	286820	287674	+	855	185
YLR103C	XII	343989	345941	-	1953	34
YLR170C	XII	500579	501049	-	471	4
YLR228C	XII	600019	602463	-	2445	272
YLL036C	XII	66745	68256	-	1512	112
YLR467C-A	XII	1077050	1077532	-	483	0
YLR198C	XII	547286	547645	-	360	8
snR61	XII	794486	794575	-	90	1
YLR411W	XII	947253	947978	+	726	29
YLR056W	XII	253861	254958	+	1098	616
YLR429W	XII	990777	992732	+	1956	536
YLL060C	XII	21138	21839	-	702	55
YLR310C	XII	752224	756993	-	4770	340
YLR342W	XII	809997	815627	+	5631	2392
YLR017W	XII	177608	178621	+	1014	149
tL(UAG)L2	XII;XII	732090;732147	732127;732190	+;+	82	0
YLR304C	XII	735212	737548	-	2337	1117
YLL052C	XII	35912	36361	-	450	8
YLR027C	XII	196829	198085	-	1257	1217
YLR214W	XII	568567	570627	+	2061	81
ITS2-2	XII	464319	464550	-	232	0
YLL062C	XII	16639	17613	-	975	71
YLR378C	XII	875736	877178	-	1443	651
YLR023C	XII	185498	187129	-	1632	338
YLR425W	XII	982894	986817	+	3924	135
YLR073C	XII	281019	281621	-	603	58
YLL008W	XII	131729	133987	+	2259	156
YLL063C	XII	14648	16072	-	1425	35
YLR449W	XII	1030834	1032012	+	1179	239
YLL046C	XII	46714	47463	-	750	0
YLR089C	XII	318237	320015	-	1779	493
RDN18-1	XII	455933	457732	-	1800	0
YLR020C	XII	181789	183405	-	1617	113
YLR190W	XII	535214	536689	+	1476	191
YLR045C	XII	235037	237703	-	2667	164
YLR285W	XII	707360	708145	+	786	78
YLR322W	XII	777628	777942	+	315	0
YLR276C	XII	695046	696830	-	1785	244
YLR346C	XII	822287	822592	-	306	21
YLR156W	XII	472113	472457	+	345	0
YLR135W	XII	413281	415527	+	2247	66
YLR261C	XII	668237	668563	-	327	0
YLL066C	XII;XII	6120;9550	9450;9836	-;-	3618	5
YLR077W	XII	283872	285623	+	1752	73
YLR144C	XII	429677	432016	-	2340	89
YLR414C	XII	953353	954144	-	792	291
YLR030W	XII	203290	204081	+	792	22
YLR301W	XII	730825	731559	+	735	210
YLR252W	XII	641957	642262	+	306	62
YLR427W	XII	988428	990440	+	2013	284
YLR200W	XII	549012	549356	+	345	267
YLR150W	XII	440467	441288	+	822	3406
YLL021W	XII	100947	105347	+	4401	172
YLR078C	XII;XII	285736;286557	286467;286559	-;-	735	49
YLR153C	XII	445524	447575	-	2052	713
YLR404W	XII	928743	929600	+	858	68
YLR014C	XII	172268	174982	-	2715	27
YLL005C	XII	137940	140546	-	2607	87
tQ(UUG)L	XII	448650	448721	-	72	0
YLR262C	XII	668244	668891	-	648	13
YLR296W	XII	722978	723304	+	327	0
YLR234W	XII	609783	611753	+	1971	19
YLR096W	XII	332590	336033	+	3444	273
YLR271W	XII	682737	683561	+	825	68
YLR033W	XII	208761	210269	+	1509	154
YLR278C	XII	699999	704024	-	4026	380
YLL055W	XII	30109	31704	+	1596	81
YLR266C	XII	675619	677724	-	2106	100
YLL030C	XII	80356	80697	-	342	0
YLR323C	XII	778173	778952	-	780	38
YLR007W	XII	164392	165402	+	1011	108
YLR406C-A	XII	932206	932355	-	150	1
YLL015W	XII	116432	121111	+	4680	162
YLR343W	XII	816094	817761	+	1668	142
YLR269C	XII	680866	681216	-	351	10
tN(GUU)L	XII	975983	976056	-	74	0
YLR210W	XII	562008	563390	+	1383	38
YLR058C	XII	257992	259401	-	1410	2399
YLR145W	XII	432168	432773	+	606	25
YLR080W	XII	287916	289250	+	1335	34
YLR443W	XII	1022625	1023971	+	1347	40
YLR325C	XII	781143	781379	-	237	2182
YLL006W	XII	136586	137866	+	1281	49
YLR074C	XII	281956	282456	-	501	92
RDN5-5	XII	485697	485815	+	119	0
YLR311C	XII	757265	757612	-	348	4
YLR191W	XII	537272	538432	+	1161	66
YLR235C	XII	611532	611930	-	399	3
YLR364C-A	XII	855523	855645	-	123	0
ITS2-1	XII	455182	455413	-	232	0
YLR288C	XII	713480	714904	-	1425	54
YLL001W	XII	147890	150163	+	2274	200
YLR409C	XII	934414	937233	-	2820	91
YLR099C	XII	339744	340928	-	1185	183
YLR131C	XII	404510	406822	-	2313	250
YLR362W	XII	849866	852019	+	2154	108
YLR256W	XII	646415	650923	+	4509	628
YLR068W	XII	271008	271463	+	456	60
YLR101C	XII	342566	342961	-	396	20
YLR341W	XII	807385	808818	+	1434	18
YLL054C	XII	32673	35204	-	2532	90
YLR186W	XII	523632	524390	+	759	117
YLR143W	XII	427329	429386	+	2058	60
YLR368W	XII	857540	859336	+	1797	63
YLR393W	XII	907079	907918	+	840	10
YLR176C	XII	507797	510232	-	2436	90
YLR126C	XII	394765	395520	-	756	46
YLR099W-A	XII	341325	341588	+	264	40
YLR423C	XII	971917	973170	-	1254	31
YLR357W	XII	841331	844000	+	2670	145
YLR197W	XII	546097	547611	+	1515	253
ETS1-1	XII	457733	458432	-	700	0
YLR187W	XII	524865	527945	+	3081	95
RDN5-2	XII	468813	468931	+	119	0
YLL034C	XII	70633	73146	-	2514	67
YLL023C	XII	97997	98836	-	840	472
YLR065C	XII	266373	266918	-	546	71
YLL031C	XII	77152	80205	-	3054	277
YLR419W	XII	958428	962735	+	4308	125
YLR149C-A	XII	440370	440456	-	87	7
YLR294C	XII	721701	722030	-	330	281
YLR405W	XII	929789	930892	+	1104	102
YLR157C-C	XII	482059	482190	-	132	0
YLR463C	XII	1066265	1066816	-	552	0
YLR026C	XII	195450	196472	-	1023	145
YLR267W	XII	678212	679924	+	1713	73
YLR093C	XII;XII	326513;327400	327258;327415	-;-	762	249
YLR085C	XII	300673	301989	-	1317	88
YLR246W	XII	627118	628197	+	1080	144
YLR433C	XII	1004347	1006008	-	1662	130
YLR227C	XII	590562	592043	-	1482	76
YLR012C	XII	169982	170281	-	300	1
YLR111W	XII	370391	370723	+	333	4
YLR152C	XII	442958	444688	-	1731	167
YLR370C	XII	861718	862254	-	537	450
YLL026W	XII	88623	91349	+	2727	1096
YLR289W	XII	715089	717026	+	1938	35
YLL066W-B	XII	5605	5775	+	171	0
YLR114C	XII	374944	377238	-	2295	206
YLR213C	XII	566654	567922	-	1269	16
YLR146C	XII	432823	433725	-	903	91
YLR445W	XII;XII	1024189;1024655	1024572;1024837	+;+	567	0
RDN18-2	XII	465070	466869	-	1800	0
YLR169W	XII	500335	500688	+	354	70
YLR202C	XII;XII	550194;550575	550458;550636	-;-	327	49
YLL053C	XII	35503	35961	-	459	19
YLR333C	XII	795573	795899	-	327	291
YLR082C	XII	292394	293572	-	1179	67
YLR193C	XII	540009	540536	-	528	109
YLL043W	XII	49938	51947	+	2010	338
YLR337C	XII	802653	805106	-	2454	512
YLL066W-A	XII	6486	6968	+	483	0
YLR039C	XII	225426	228596	-	3171	164
YLR457C	XII	1055812	1056771	-	960	58
YLR377C	XII	873746	874792	-	1047	17
YLR104W	XII	346585	346980	+	396	124
YLR319C	XII	769318	771684	-	2367	70
YLR184W	XII	522106	522453	+	348	1
YLR317W	XII	765655	766089	+	435	0
YLL003W	XII	143201	146041	+	2841	80
YLR004C	XII	157934	159505	-	1572	27
YLR407W	XII	932967	933653	+	687	81
YLR336C	XII	799697	802396	-	2700	32
YLR430W	XII	993434	1000129	+	6696	303
YLR436C	XII	1007421	1011245	-	3825	298
YLR347C	XII	823828	826413	-	2586	213
YLR324W	XII	779215	780786	+	1572	160
tV(AAC)L	XII	687859	687932	-	74	2
YLR460C	XII	1059757	1060887	-	1131	13
YLR113W	XII	371620	372927	+	1308	397
YLR046C	XII	238001	238813	-	813	81
YLR125W	XII	393484	393894	+	411	12
YLR196W	XII	543968	545698	+	1731	195
YLR363W-A	XII	853461	853718	+	258	40
YLL061W	XII	17956	19707	+	1752	176
YLR119W	XII	385534	386175	+	642	71
snR57	XII	794937	795024	-	88	4
YLL020C	XII	105556	105861	-	306	10
YLR163C	XII	491866	493254	-	1389	215
YLL014W	XII	121322	121648	+	327	105
YLR129W	XII	399657	402488	+	2832	129
tD(GUC)L2	XII	793918	793989	+	72	1
YLR173W	XII	502421	504247	+	1827	132
YLR090W	XII	320701	322080	+	1380	91
YLR286W-A	XII	708562	708696	+	135	0
snR55	XII	794697	794794	-	98	1
YLR259C	XII	663284	665002	-	1719	623
YLR219W	XII	574151	576337	+	2187	537
YLR401C	XII	922442	924448	-	2007	94
YLL058W	XII	23569	25296	+	1728	62
YLR177W	XII	511054	512940	+	1887	868
YLR415C	XII	954259	954597	-	339	1
YLR467W	XII	1072508	1077898	+	5391	0
YLR302C	XII	732191	732553	-	363	2
YLR185W	XII;XII	522663;523029	522669;523288	+;+	267	482
YLR060W	XII	260979	262766	+	1788	747
YLR313C	XII	760750	762342	-	1593	34
YLR303W	XII	732542	733876	+	1335	2738
YLR154W-B	XII	454392	454556	+	165	0
YLL029W	XII	81461	83710	+	2250	467
YLL047W	XII	46672	47055	+	384	2
YLR285C-A	XII	708168	708338	-	171	37
YLR001C	XII	151389	153977	-	2589	182
snR79	XII	348427	348510	-	84	3
YLR465C	XII	1067045	1067353	-	309	0
YLR015W	XII	175227	176744	+	1518	58
YLR432W	XII	1002557	1004128	+	1572	906
YLR081W	XII	290212	291936	+	1725	26
YLR166C	XII	495429	498044	-	2616	114
YLR383W	XII	885288	888632	+	3345	42
YLR035C	XII	212369	214456	-	2088	94
YLR044C	XII	232390	234081	-	1692	13972
YLR293C	XII	720771	721430	-	660	1126
YLR399W-A	XII	920869	920973	+	105	0
YLR192C	XII	538792	539589	-	798	462
YLR300W	XII	728955	730301	+	1347	1550
YLR098C	XII	337527	339473	-	1947	122
YLR448W	XII;XII	1028854;1029253	1028868;1029768	+;+	531	779
YLR381W	XII	879723	881924	+	2202	59
YLR280C	XII	704483	704833	-	351	0
snR44	XII	856710	856920	+	211	116
YLR367W	XII;XII	856442;857058	856574;857317	+;+	393	474
YLR309C	XII	749034	751769	-	2736	95
YLR299W	XII	726069	728051	+	1983	276
YLR224W	XII	586464	587573	+	1110	191
YLR029C	XII	201976	202590	-	615	1783
YLR373C	XII	868662	871367	-	2706	184
YLR092W	XII	323544	326225	+	2682	244
YLL018C-A	XII	108676	108972	-	297	124
RDN25-2	XII	460923	464318	-	3396	0
YLR066W	XII	267169	267723	+	555	131
RDN58-1	XII	455414	455571	-	158	0
YLR146W-A	XII	433870	434058	+	189	63
YLR175W	XII	506134	507585	+	1452	419
YLR402W	XII	924889	925080	+	192	4
YLR158C	XII	482549	483637	-	1089	0
YLL051C	XII	37333	39471	-	2139	192
YLR314C	XII	762575	764137	-	1563	489
YLR438C-A	XII	1013909	1014178	-	270	52
YLR209C	XII	560797	561732	-	936	204
YLR019W	XII	180288	181481	+	1194	499
YLR123C	XII	391078	391407	-	330	6
YLR353W	XII	834352	836163	+	1812	158
YLR361C	XII	847388	849124	-	1737	70
YLL033W	XII	73409	74101	+	693	22
YLR389C	XII	899577	902660	-	3084	394
YLR438W	XII	1012501	1013775	+	1275	130
YLR290C	XII	717145	717978	-	834	310
YLR270W	XII	681186	682238	+	1053	185
YLR194C	XII	540809	541573	-	765	152
YLR006C	XII	161755	163893	-	2139	380
YLR223C	XII	582233	585490	-	3258	196
YLR195C	XII	541937	543304	-	1368	230
YLL016W	XII	112847	115993	+	3147	111
YLL067W-A	XII	843	1325	+	483	0
YLR398C	XII	915156	919019	-	3864	199
YLR418C	XII	956914	958095	-	1182	143
YLR010C	XII	167320	167802	-	483	16
YLR307W	XII	745620	746525	+	906	0
YLR356W	XII	840321	840914	+	594	379
YLR431C	XII	1000342	1001703	-	1362	71
YLR109W	XII	368781	369311	+	531	4004
tI(UAU)L	XII;XII	605300;605396	605335;605432	-;-	73	3
YLR364W	XII	854062	854391	+	330	46
YLR106C	XII	349006	363738	-	14733	460
YLR083C	XII	294091	296094	-	2004	339
YLR274W	XII	691555	693882	+	2328	127
YLR413W	XII	951156	953183	+	2028	1402
YLR412C-A	XII	950267	950473	-	207	0
YLR340W	XII	805887	806825	+	939	2849
YLR055C	XII	251272	253080	-	1809	132
YLR254C	XII	644404	644973	-	570	101
YLL017W	XII	112234	112545	+	312	30
YLR121C	XII	388744	390270	-	1527	222
tA(AGC)L	XII	656934	657006	-	73	1
YLL042C	XII	52087	52590	-	504	12
YLR157W-D	XII	475764	475976	+	213	0
YLR211C	XII;XII	563792;564514	564454;564531	-;-	681	36
YLR400W	XII	922063	922536	+	474	4
YLR105C	XII	347047	348180	-	1134	112
YLR142W	XII	425186	426616	+	1431	24
YLR376C	XII	872826	873554	-	729	40
YLR318W	XII	766542	769196	+	2655	37
YLR239C	XII	616332	617318	-	987	143
YLR262C-A	XII	669468	669662	-	195	122
tE(UUC)L	XII	797178	797249	+	72	0
YLL037W	XII	66562	66942	+	381	3
YLR452C	XII	1039270	1041366	-	2097	452
YLR372W	XII	867354	868391	+	1038	452
YLR154W-C	XII	454696	455070	+	375	0
ETS2-1	XII	451575	451785	-	211	0
YLR363C	XII	852495	853151	-	657	29
YLR207W	XII	556788	559289	+	2502	161
YLR312W-A	XII	759480	760241	+	762	78
YLR188W	XII	528300	530387	+	2088	215
YLR011W	XII	169103	169678	+	576	36
YLR159W	XII	485345	485689	+	345	0
YLR328W	XII	784913	786118	+	1206	175
YLR171W	XII	500733	501122	+	390	0
YLR241W	XII	620473	622821	+	2349	328
YLR245C	XII	626502	626930	-	429	28
YLR360W	XII	846103	847422	+	1320	84
snR30	XII	198784	199389	+	606	67
YLR205C	XII	552724	553677	-	954	22
RDN25-1	XII	451786	455181	-	3396	0
YLR161W	XII	488997	489341	+	345	0
YLR287C	XII	710991	712058	-	1068	78
YLR366W	XII	855538	855843	+	306	0
YLR410W	XII	937541	940981	+	3441	340
YLR230W	XII	604574	604879	+	306	49
YLR097C	XII	336231	337265	-	1035	60
YLR397C	XII	912550	914892	-	2343	138
YLR120C	XII	386511	388220	-	1710	629
YLR335W	XII	797430	799592	+	2163	379
YLR399C	XII	919536	921596	-	2061	194
YLL044W	XII	48216	48662	+	447	0
YLR453C	XII	1041799	1042986	-	1188	37
YLL057C	XII	25756	26994	-	1239	33
YLR388W	XII	898651	898821	+	171	1071
YLR249W	XII	636780	639914	+	3135	3981
YLR151C	XII	441715	442737	-	1023	30
YLR260W	XII	665844	667907	+	2064	60
YLL010C	XII	129330	130613	-	1284	329
YLR133W	XII	408445	410193	+	1749	285
YLR329W	XII;XII	786442;786713	786615;787333	+;+	795	13
snR6	XII	366235	366346	+	112	1
YLL011W	XII	127523	128992	+	1470	44
YLR384C	XII	888851	892900	-	4050	273
YLR203C	XII	550650	551960	-	1311	213
YLR156C-A	XII	472479	472610	-	132	0
YLR394W	XII	907950	909398	+	1449	120
YLR021W	XII	183623	184162	+	540	40
YLR331C	XII	790669	791046	-	378	1
YLR450W	XII	1032627	1035764	+	3138	455
YLR140W	XII	423474	423800	+	327	1
YLR157W-E	XII	481873	482037	+	165	0
YLR390W	XII	903066	903404	+	339	105
YLR291C	XII	718317	719462	-	1146	187
RDN5-4	XII	482045	482163	+	119	0
YLR408C	XII	933885	934253	-	369	8
